"sep=,"
FILENAME,LINE_START,LINE_END,TYPE,EXPRESSION,CONSTANTS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ebrowse.c.xml,31,33,#if,!defined(SEEK_END),SEEK_END
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ebrowse.c.xml,52,54,#if,defined(__MSDOS__),__MSDOS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ebrowse.c.xml,54,56,#elif,(!(defined(__MSDOS__))) && (defined WINDOWSNT),WINDOWSNT;__MSDOS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ebrowse.c.xml,56,58,#else,(!(defined(__MSDOS__))) && (!(defined WINDOWSNT)),WINDOWSNT;__MSDOS__
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,83,86,#if,defined(DEBUG),DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,86,89,#else,!(defined(DEBUG)),DEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,93,95,#if,!defined(_GNU_SOURCE),_GNU_SOURCE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,99,103,#if,defined(WIN32_NATIVE),WIN32_NATIVE
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,105,109,#if,defined(MSDOS),MSDOS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,109,111,#else,!(defined(MSDOS)),MSDOS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,113,120,#if,defined(WINDOWSNT),WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,135,138,#if,defined(NDEBUG),NDEBUG
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,146,149,#if,defined(CTAGS),CTAGS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/etags.c.xml,149,151,#else,!(defined(CTAGS)),CTAGS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/make-docfile.c.xml,46,51,#if,defined(WINDOWSNT),WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/make-docfile.c.xml,57,65,#if,defined(DOS_NT),DOS_NT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/make-docfile.c.xml,65,67,#else,!(defined(DOS_NT)),DOS_NT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,73,75,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,77,79,#if,defined(MSDOS),MSDOS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,81,99,#if,defined(WINDOWSNT),WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,101,103,#if,defined(WINDOWSNT),WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,110,112,#if,defined(MAIL_USE_LOCKF),MAIL_USE_LOCKF
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,114,116,#if,defined(MAIL_USE_FLOCK),MAIL_USE_FLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,118,128,#if,(!defined MAIL_USE_SYSTEM_LOCK && (defined HAVE_LIBMAIL || defined HAVE_LIBLOCKFILE) && defined HAVE_MAILLOCK_H),HAVE_LIBLOCKFILE;HAVE_LIBMAIL;HAVE_MAILLOCK_H;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,124,127,#if,((!defined MAIL_USE_SYSTEM_LOCK && (defined HAVE_LIBMAIL || defined HAVE_LIBLOCKFILE) && defined HAVE_MAILLOCK_H)) && (defined(MAILDIR)),HAVE_LIBLOCKFILE;HAVE_LIBMAIL;HAVE_MAILLOCK_H;MAILDIR;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,134,140,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,142,154,#if,(defined MAIL_USE_MAILLOCK || (!defined DISABLE_DIRECT_ACCESS && !defined MAIL_USE_SYSTEM_LOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_MAILLOCK;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,169,175,#if,!defined(MAIL_USE_SYSTEM_LOCK),MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,177,180,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,180,182,#else,!(defined(MAIL_USE_POP)),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,192,196,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,206,208,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,208,210,#else,!(defined(MAIL_USE_POP)),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,213,216,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,216,218,#else,!(defined(MAIL_USE_POP)),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,228,242,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,244,500,#if,!defined(DISABLE_DIRECT_ACCESS),DISABLE_DIRECT_ACCESS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,249,251,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_MAILLOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_MAILLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,254,325,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (!defined(MAIL_USE_SYSTEM_LOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,328,330,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined(SIGCHLD)),DISABLE_DIRECT_ACCESS;SIGCHLD
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,340,342,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined (MAIL_USE_MAILLOCK) && defined (HAVE_TOUCHLOCK)),DISABLE_DIRECT_ACCESS;HAVE_TOUCHLOCK;MAIL_USE_MAILLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,347,349,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_SYSTEM_LOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,349,351,#else,(!defined(DISABLE_DIRECT_ACCESS)) && (!(defined(MAIL_USE_SYSTEM_LOCK))),DISABLE_DIRECT_ACCESS;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,371,383,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_MAILLOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_MAILLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,377,379,#if,((!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_MAILLOCK))) && (defined(HAVE_TOUCHLOCK)),DISABLE_DIRECT_ACCESS;HAVE_TOUCHLOCK;MAIL_USE_MAILLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,385,395,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_SYSTEM_LOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,386,388,#if,((!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_SYSTEM_LOCK))) && (defined(MAIL_USE_LOCKF)),DISABLE_DIRECT_ACCESS;MAIL_USE_LOCKF;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,388,394,#else,((!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_SYSTEM_LOCK))) && (!(defined(MAIL_USE_LOCKF))),DISABLE_DIRECT_ACCESS;MAIL_USE_LOCKF;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,389,391,#if,(((!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_SYSTEM_LOCK))) && (!(defined(MAIL_USE_LOCKF)))) && (defined(WINDOWSNT)),DISABLE_DIRECT_ACCESS;MAIL_USE_LOCKF;MAIL_USE_SYSTEM_LOCK;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,391,393,#else,(((!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_SYSTEM_LOCK))) && (!(defined(MAIL_USE_LOCKF)))) && (!(defined(WINDOWSNT))),DISABLE_DIRECT_ACCESS;MAIL_USE_LOCKF;MAIL_USE_SYSTEM_LOCK;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,428,438,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined (MAIL_USE_MAILLOCK) && defined (HAVE_TOUCHLOCK)),DISABLE_DIRECT_ACCESS;HAVE_TOUCHLOCK;MAIL_USE_MAILLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,453,459,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_SYSTEM_LOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,463,475,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (!defined(MAIL_USE_SYSTEM_LOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,468,472,#if,((!defined(DISABLE_DIRECT_ACCESS)) && (!defined(MAIL_USE_SYSTEM_LOCK))) && (defined(MAIL_UNLINK_SPOOL)),DISABLE_DIRECT_ACCESS;MAIL_UNLINK_SPOOL;MAIL_USE_SYSTEM_LOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/movemail.c.xml,481,486,#if,(!defined(DISABLE_DIRECT_ACCESS)) && (defined(MAIL_USE_MAILLOCK)),DISABLE_DIRECT_ACCESS;MAIL_USE_MAILLOCK
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ntlib.c.xml,39,45,#if,!defined(_TIMEZONE_DEFINED),_TIMEZONE_DEFINED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ntlib.h.xml,29,31,#if,defined(sleep),sleep
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/ntlib.h.xml,83,85,#if,!defined(fileno),fileno
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,26,1584,#if,defined(MAIL_USE_POP),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,29,36,#if,(defined(MAIL_USE_POP)) && (defined(WINDOWSNT)),MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,36,42,#else,(defined(MAIL_USE_POP)) && (!(defined(WINDOWSNT))),MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,45,54,#if,(defined(MAIL_USE_POP)) && (defined(HESIOD)),HESIOD;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,63,81,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,64,66,#if,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (defined(HAVE_KRB5_H)),HAVE_KRB5_H;KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,67,69,#if,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (defined(HAVE_KRB_H)),HAVE_KRB_H;KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,69,77,#else,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (!(defined(HAVE_KRB_H))),HAVE_KRB_H;KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,70,72,#if,(((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (!(defined(HAVE_KRB_H)))) && (defined(HAVE_KERBEROSIV_KRB_H)),HAVE_KERBEROSIV_KRB_H;HAVE_KRB_H;KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,72,76,#else,(((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (!(defined(HAVE_KRB_H)))) && (!(defined(HAVE_KERBEROSIV_KRB_H))),HAVE_KERBEROSIV_KRB_H;HAVE_KRB_H;KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,73,75,#if,((((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (!(defined(HAVE_KRB_H)))) && (!(defined(HAVE_KERBEROSIV_KRB_H)))) && (defined(HAVE_KERBEROS_KRB_H)),HAVE_KERBEROSIV_KRB_H;HAVE_KERBEROS_KRB_H;HAVE_KRB_H;KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,78,80,#if,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (defined(HAVE_COM_ERR_H)),HAVE_COM_ERR_H;KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,85,93,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,86,92,#if,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (!defined(KERBEROS5)),KERBEROS;KERBEROS5;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,95,99,#if,(defined(MAIL_USE_POP)) && (!defined(WINDOWSNT)),MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,96,98,#if,((defined(MAIL_USE_POP)) && (!defined(WINDOWSNT))) && (!defined(HAVE_H_ERRNO)),HAVE_H_ERRNO;MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,106,108,#if,(defined(MAIL_USE_POP)) && (0),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,117,120,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,193,206,#if,(defined(MAIL_USE_POP)) && (defined(HESIOD)),HESIOD;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,208,213,#if,(defined(MAIL_USE_POP)) && (defined(MAILHOST)),MAILHOST;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,222,224,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,224,226,#else,(defined(MAIL_USE_POP)) && (!(defined(KERBEROS))),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,944,946,#if,(defined(MAIL_USE_POP)) && (defined(WINDOWSNT)),MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,965,969,#if,(defined(MAIL_USE_POP)) && (defined(HAVE_GETADDRINFO)),HAVE_GETADDRINFO;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,969,971,#else,(defined(MAIL_USE_POP)) && (!(defined(HAVE_GETADDRINFO))),HAVE_GETADDRINFO;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,978,994,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,979,987,#if,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (defined(KERBEROS5)),KERBEROS;KERBEROS5;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,987,993,#else,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (!(defined(KERBEROS5))),KERBEROS;KERBEROS5;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,999,1005,#if,(defined(MAIL_USE_POP)) && (defined(WINDOWSNT)),MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1011,1013,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1013,1015,#else,(defined(MAIL_USE_POP)) && (!(defined(KERBEROS))),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1017,1027,#if,(defined(MAIL_USE_POP)) && (defined(HESIOD)),HESIOD;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1038,1041,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1041,1043,#else,(defined(MAIL_USE_POP)) && (!(defined(KERBEROS))),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1058,1090,#if,(defined(MAIL_USE_POP)) && (defined(HAVE_GETADDRINFO)),HAVE_GETADDRINFO;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1090,1116,#else,(defined(MAIL_USE_POP)) && (!(defined(HAVE_GETADDRINFO))),HAVE_GETADDRINFO;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1128,1219,#if,(defined(MAIL_USE_POP)) && (defined(KERBEROS)),KERBEROS;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1133,1202,#if,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (defined(KERBEROS5)),KERBEROS;KERBEROS5;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1182,1189,#if,(((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (defined(KERBEROS5))) && (defined HAVE_KRB5_ERROR_TEXT),HAVE_KRB5_ERROR_TEXT;KERBEROS;KERBEROS5;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1189,1193,#elif,((((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (defined(KERBEROS5))) && (!(defined HAVE_KRB5_ERROR_TEXT))) && (defined HAVE_KRB5_ERROR_E_TEXT),HAVE_KRB5_ERROR_E_TEXT;HAVE_KRB5_ERROR_TEXT;KERBEROS;KERBEROS5;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1202,1217,#else,((defined(MAIL_USE_POP)) && (defined(KERBEROS))) && (!(defined(KERBEROS5))),KERBEROS;KERBEROS5;MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1476,1506,#if,(defined(MAIL_USE_POP)) && (0),MAIL_USE_POP
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/pop.c.xml,1558,1561,#if,(defined(MAIL_USE_POP)) && (defined(WINDOWSNT)),MAIL_USE_POP;WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/update-game-score.c.xml,51,53,#if,defined(WINDOWSNT),WINDOWSNT
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/update-game-score.c.xml,55,57,#if,!defined(min),min
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/emacs-25.2/_cppstats_featurelocations/lib-src/update-game-score.c.xml,129,131,#if,defined(HAVE_SHARED_GAME_DIR),HAVE_SHARED_GAME_DIR
